MEAN_RR,pNN50,MEAN_REL_RR,LF,HF,sampen,y
885.1578446,0.533333333,-0.000202986,1009.249419,15.5226025,2.139754004,0
939.4253707,0,-5.88E-05,690.1132748,2.108525418,2.174498785,1
898.1860468,0.2,-1.09E-05,1298.222619,13.76972944,2.135349707,1
881.7578645,0.133333333,0.000111762,1005.981659,18.18191348,2.178340631,0
809.6253311,0.2,-9.96E-05,1421.782051,48.2158224,2.221120909,0
923.2838661,0.6,0.00074966,151.1451487,11.02745997,0.582616332,0
973.252908,0,-0.000123819,483.1144752,1.489795771,2.161460851,0
715.9146819,0.2,3.11E-05,437.878087,28.91345272,1.110738888,0
814.2570213,0.8,-0.00018672,1003.315816,20.75778727,2.174232755,1
959.694591,0.2,5.12E-05,522.3102814,2.572458989,2.171599745,0
848.6209148,0,-7.93E-05,653.7106071,45.56665987,2.206018299,1
933.5856051,1.066666667,0.000183202,1109.178958,8.92065054,2.022375836,0
708.8872922,0.266666667,-6.24E-05,615.8265211,49.65837943,2.089419554,0
772.7466067,0.066666667,4.50E-05,405.0194374,30.347138,2.082336544,1
810.7478068,0,1.29E-05,1293.066172,57.01103364,2.19660569,0
627.7869333,1.4,-9.56E-06,781.7556382,254.9739534,2.147714192,0
925.6988472,0.733333333,2.58E-05,820.4457333,13.052115,1.994747279,0
761.9227151,1.333333333,-0.000135924,1632.398999,52.75079589,2.021139908,0
776.4001781,0,-5.97E-05,747.1193377,17.37854763,2.215251331,1
810.5444307,0.866666667,2.35E-05,774.771012,40.04765215,2.088672363,1
801.0011941,0,5.46E-05,292.8638578,13.71396785,1.914366664,0
811.1076348,0,3.39E-05,296.1447644,9.918353288,1.780498232,0
793.6120423,0.666666667,0.000458292,960.5523479,42.08593313,1.58928653,1
994.5599086,1.733333333,-6.26E-05,1969.203032,7.302294849,2.090519802,1
775.171469,0.6,0.000114857,758.9951899,29.87049417,2.074665772,1
729.5015011,1.933333333,0.000102714,2420.937774,149.7187407,2.208484531,1
864.2132614,1.333333333,-0.000111831,1987.25732,41.50587709,2.191371162,1
922.0927323,0,0.000221206,657.1690608,2.252476617,2.063643486,0
571.6601676,0.133333333,-3.87E-05,569.5350474,36.7083368,2.027469981,1
863.244837,0.733333333,-4.20E-06,715.6525128,43.61888158,2.038726931,0
739.8203525,0,-2.50E-05,408.8518131,46.85526022,2.182094782,0
983.3893159,1.666666667,-4.74E-05,2142.656059,12.76885163,2.203219831,0
771.6711513,0,-9.11E-05,274.8402653,28.44628205,2.19011449,1
925.6768888,0.733333333,5.12E-05,834.5685724,12.72913749,1.994949977,0
856.0275776,1.466666667,-6.72E-06,646.0488282,47.09973226,1.809153365,1
938.1048518,0.133333333,-2.51E-05,554.4792379,2.683660185,2.205622651,1
949.9758168,0.2,8.01E-05,670.7925644,1.245185444,2.130545254,1
822.1515483,2.133333333,-9.42E-05,825.4140539,89.37312203,1.908165868,1
