E.Sample_D ,E.Aprox_D,E.Fuzzy_D,F.Corre_D,E.Shannon_D,F.DFA_D,y
1.540478171,1.52568009,1.069965842,0.175370332,10.11047686,0.480231007,0
1.97202594,1.083017583,1.687205741,0.51669908,9.157812596,0.725099269,1
1.551098445,1.418967289,1.230997889,0.217978949,7.549569469,0.532469597,0
1.852434487,1.758765727,1.563604468,0.587108355,10.69265191,0.841039662,1
1.764239947,1.896337693,1.81563554,0.481245078,5.124543828,0.69036413,1
1.537723049,1.544548543,1.289241266,0.767665012,6.117142978,0.995337374,0
1.100013147,1.270095651,1.901787379,0.417600728,2.384350177,0.149316536,0
1.877894043,1.736910599,1.838668567,0.718441753,5.900876652,0.139212183,1
1.221363472,1.687859178,1.588591887,0.064032406,9.329481406,0.303113389,0
1.563120823,1.857468082,1.374283141,0.169146697,3.804857682,0.98496261,0
1.378271279,1.876806039,1.518648599,0.354611735,0.748453711,0.485082773,0
1.460412706,1.502603064,1.441406205,0.947957993,11.50479186,0.239695124,0
1.094136095,1.811372815,1.438665161,0.970927788,4.330580939,0.390120476,0
1.795356089,1.299905365,1.295391518,0.919494316,5.022026048,0.033370372,1
1.785548498,1.545344119,1.965158965,0.536030387,7.953097686,0.78495069,1
1.94724194,1.6461072,1.351954646,0.023393422,7.960008414,0.342993998,1
1.416357392,1.889630439,1.816258039,0.240657953,7.976280917,0.863413096,0
1.758296138,1.757294904,1.428687927,0.551137246,10.10628352,0.135147247,1
1.064367419,1.761733497,1.86636882,0.260822944,10.34199918,0.921384493,0
1.624993628,1.311015395,1.146452393,0.380285958,1.069502612,0.106786736,1
1.868698963,1.047458835,1.589460526,0.033290023,11.90182732,0.170551928,1
1.300268194,1.557536621,1.116603555,0.834383999,4.788207627,0.195102838,0
1.593226119,1.548497979,1.989666197,0.309462703,3.492436985,0.146504701,0
1.431441391,1.361058321,1.178819823,0.429603237,1.721425302,0.690228572,0
1.632791844,1.280574223,1.623117088,0.467872343,5.191645833,0.616691747,1
1.472018316,1.331531146,1.613693559,0.633135105,5.009174473,0.378759376,0
1.402374531,1.677171056,1.055252413,0.536031025,7.279876604,0.609161538,0
1.196936003,1.764687159,1.637286385,0.614660944,9.925012423,0.280300695,0
1.719186794,1.881867652,1.865796486,0.995425766,4.948815736,0.305495874,1
1.318588915,1.239995044,1.875091833,0.640674546,9.33708997,0.277013804,0
1.311056106,1.600542428,1.148390962,0.46512141,6.004918552,0.93451808,0
1.325476511,1.10690671,1.297965568,0.144227892,11.83594042,0.066279149,0
1.691984813,1.258068401,1.465593615,0.210321451,1.827033056,0.130000241,1
1.732565253,1.672666065,1.300319462,0.647657852,11.985888,0.691238328,1
1.807597153,1.816339334,1.610519354,0.734999078,3.870660316,0.337443888,1
1.892445313,1.922723151,1.547151613,0.613639597,3.217748841,0.604350816,1
1.245109534,1.241209217,1.2606583,0.022257564,3.101838629,0.62027936,0
1.921059192,1.232765458,1.249131097,0.68063258,10.522154,0.308935347,1
1.877028524,1.626508226,1.914884031,0.836058495,3.900033566,0.177038675,1
1.106364592,1.348972432,1.076835036,0.914180369,11.61531074,0.920479851,0
1.147331851,1.439361762,1.350894781,0.873181319,0.28467445,0.578811567,0
1.868028669,1.445572972,1.189418418,0.310961514,7.544038476,0.55161665,1
1.893886317,1.26456692,1.135119371,0.505825073,2.287257766,0.386772213,1
1.408973134,1.188484584,1.970363169,0.322855052,6.853826059,0.354783811,0
1.740520361,1.908096756,1.388160549,0.850371183,3.56466017,0.440525719,1
1.579918682,1.593413643,1.566174463,0.263423351,1.049478392,0.109466668,0
1.844449279,1.727710036,1.512254514,0.111720005,0.304511671,0.838884945,1
1.333238556,1.677241522,1.123155598,0.271502611,5.122098392,0.122802809,0
1.65190184,1.373381698,1.756327951,0.088723473,8.903927326,0.719122176,1
1.807256958,1.637590536,1.430021172,0.689893044,6.662683163,0.423315077,1
1.853807324,1.99373586,1.457269806,0.93319843,10.61367445,0.017097018,1
1.401543784,1.288082639,1.151290128,0.209834796,11.52004447,0.015932301,0
1.953827645,1.915222454,1.534211891,0.737950125,5.960784033,0.249290309,1
1.997629175,1.179650466,1.141777208,0.200799205,8.593328027,0.819996545,1
1.756606401,1.469177464,1.040292616,0.920540413,5.23360996,0.192525449,1
1.93298875,1.165808554,1.080038725,0.495450398,11.05988753,0.538643653,1
1.939748665,1.885511629,1.019358934,0.570071399,1.349066454,0.963140008,1
1.13738281,1.305321104,1.358403486,0.241017905,0.098262936,0.239774806,0
1.086214926,1.665307508,1.97427282,0.890752947,8.692496074,0.80553871,0
1.731160093,1.96001218,1.640056102,0.805782198,11.38589363,0.125531363,1
1.592722084,1.842985499,1.416532325,0.749201327,3.205249509,0.57154303,0
1.326924046,1.273453357,1.080593708,0.694744034,3.837171439,0.985387288,0
1.279064912,1.459539109,1.439502195,0.890475414,10.54694246,0.900691485,0
1.273169779,1.434204112,1.666061775,0.649308026,3.33944388,0.457565556,0
1.209452549,1.810199555,1.431294471,0.741170988,9.356738594,0.46720837,0
1.004786444,1.259773092,1.28734646,0.188716284,1.055323518,0.624233728,0
1.158221063,1.008883166,1.460494391,0.701301457,0.634242747,0.60142955,0
1.886338389,1.08232538,1.139557587,0.583048179,3.731121905,0.151720511,1
1.835165885,1.823779699,1.248526542,0.30730125,4.467913765,0.148155861,1
1.012006569,1.820181744,1.166574417,0.405733556,9.567091022,0.284999715,0
1.524084522,1.71917853,1.298304334,0.961928027,7.894646766,0.819330693,0
1.262152616,1.908791263,1.760851333,0.232006784,0.391236655,0.987342647,0
1.314315041,1.225360258,1.177208062,0.288232417,0.227757145,0.654654297,0
1.927665299,1.338501516,1.719785556,0.663687179,1.926493995,0.507937682,1
1.006267779,1.553521543,1.588558463,0.285141694,11.51995765,0.377663104,0
1.250960423,1.763748269,1.184316714,0.205975002,4.091287104,0.987076314,0
1.832377989,1.616105037,1.12599322,0.947655804,5.136304086,0.312926227,1
1.136443248,1.766623946,1.430857684,0.316414966,6.65660105,0.566380277,0
1.243037539,1.023155249,1.671417253,0.177017181,8.236505379,0.167044115,0
