E.Sample_D ,E.Aprox_D,E.Fuzzy_D,F.Corre_D,E.Shannon_D,F.DFA_D,y0,MEAN_RR,pNN50,MEAN_REL_RR,LF,HF,sampen,y1,Cluster
1.540478171,1.52568009,1.069965842,0.175370332,10.11047686,0.480231007,0,885.1578446,0.533333333,-0.000202986,1009.249419,15.5226025,2.139754004,0,0
1.97202594,1.083017583,1.687205741,0.51669908,9.157812596,0.725099269,1,939.4253707,0,-5.88E-05,690.1132748,2.108525418,2.174498785,1,0
1.551098445,1.418967289,1.230997889,0.217978949,7.549569469,0.532469597,0,898.1860468,0.2,-1.09E-05,1298.222619,13.76972944,2.135349707,1,0
1.852434487,1.758765727,1.563604468,0.587108355,10.69265191,0.841039662,1,881.7578645,0.133333333,0.000111762,1005.981659,18.18191348,2.178340631,0,0
1.764239947,1.896337693,1.81563554,0.481245078,5.124543828,0.69036413,1,809.6253311,0.2,-9.96E-05,1421.782051,48.2158224,2.221120909,0,0
1.537723049,1.544548543,1.289241266,0.767665012,6.117142978,0.995337374,0,923.2838661,0.6,0.00074966,151.1451487,11.02745997,0.582616332,0,0
1.100013147,1.270095651,1.901787379,0.417600728,2.384350177,0.149316536,0,973.252908,0,-0.000123819,483.1144752,1.489795771,2.161460851,0,0
1.877894043,1.736910599,1.838668567,0.718441753,5.900876652,0.139212183,1,715.9146819,0.2,3.11E-05,437.878087,28.91345272,1.110738888,0,0
1.221363472,1.687859178,1.588591887,0.064032406,9.329481406,0.303113389,0,814.2570213,0.8,-0.00018672,1003.315816,20.75778727,2.174232755,1,0
1.563120823,1.857468082,1.374283141,0.169146697,3.804857682,0.98496261,0,959.694591,0.2,5.12E-05,522.3102814,2.572458989,2.171599745,0,0
1.378271279,1.876806039,1.518648599,0.354611735,0.748453711,0.485082773,0,848.6209148,0,-7.93E-05,653.7106071,45.56665987,2.206018299,1,0
1.460412706,1.502603064,1.441406205,0.947957993,11.50479186,0.239695124,0,933.5856051,1.066666667,0.000183202,1109.178958,8.92065054,2.022375836,0,0
1.094136095,1.811372815,1.438665161,0.970927788,4.330580939,0.390120476,0,708.8872922,0.266666667,-6.24E-05,615.8265211,49.65837943,2.089419554,0,0
1.795356089,1.299905365,1.295391518,0.919494316,5.022026048,0.033370372,1,772.7466067,0.066666667,4.50E-05,405.0194374,30.347138,2.082336544,1,0
1.785548498,1.545344119,1.965158965,0.536030387,7.953097686,0.78495069,1,810.7478068,0,1.29E-05,1293.066172,57.01103364,2.19660569,0,0
1.94724194,1.6461072,1.351954646,0.023393422,7.960008414,0.342993998,1,627.7869333,1.4,-9.56E-06,781.7556382,254.9739534,2.147714192,0,1
1.416357392,1.889630439,1.816258039,0.240657953,7.976280917,0.863413096,0,925.6988472,0.733333333,2.58E-05,820.4457333,13.052115,1.994747279,0,0
1.758296138,1.757294904,1.428687927,0.551137246,10.10628352,0.135147247,1,761.9227151,1.333333333,-0.000135924,1632.398999,52.75079589,2.021139908,0,0
1.064367419,1.761733497,1.86636882,0.260822944,10.34199918,0.921384493,0,776.4001781,0,-5.97E-05,747.1193377,17.37854763,2.215251331,1,0
1.624993628,1.311015395,1.146452393,0.380285958,1.069502612,0.106786736,1,810.5444307,0.866666667,2.35E-05,774.771012,40.04765215,2.088672363,1,0
1.868698963,1.047458835,1.589460526,0.033290023,11.90182732,0.170551928,1,801.0011941,0,5.46E-05,292.8638578,13.71396785,1.914366664,0,0
1.300268194,1.557536621,1.116603555,0.834383999,4.788207627,0.195102838,0,811.1076348,0,3.39E-05,296.1447644,9.918353288,1.780498232,0,0
1.593226119,1.548497979,1.989666197,0.309462703,3.492436985,0.146504701,0,793.6120423,0.666666667,0.000458292,960.5523479,42.08593313,1.58928653,1,0
1.431441391,1.361058321,1.178819823,0.429603237,1.721425302,0.690228572,0,994.5599086,1.733333333,-6.26E-05,1969.203032,7.302294849,2.090519802,1,0
1.632791844,1.280574223,1.623117088,0.467872343,5.191645833,0.616691747,1,775.171469,0.6,0.000114857,758.9951899,29.87049417,2.074665772,1,0
1.472018316,1.331531146,1.613693559,0.633135105,5.009174473,0.378759376,0,729.5015011,1.933333333,0.000102714,2420.937774,149.7187407,2.208484531,1,1
1.402374531,1.677171056,1.055252413,0.536031025,7.279876604,0.609161538,0,864.2132614,1.333333333,-0.000111831,1987.25732,41.50587709,2.191371162,1,1
1.196936003,1.764687159,1.637286385,0.614660944,9.925012423,0.280300695,0,922.0927323,0,0.000221206,657.1690608,2.252476617,2.063643486,0,0
1.719186794,1.881867652,1.865796486,0.995425766,4.948815736,0.305495874,1,571.6601676,0.133333333,-3.87E-05,569.5350474,36.7083368,2.027469981,1,0
1.318588915,1.239995044,1.875091833,0.640674546,9.33708997,0.277013804,0,863.244837,0.733333333,-4.20E-06,715.6525128,43.61888158,2.038726931,0,0
1.311056106,1.600542428,1.148390962,0.46512141,6.004918552,0.93451808,0,739.8203525,0,-2.50E-05,408.8518131,46.85526022,2.182094782,0,0
1.325476511,1.10690671,1.297965568,0.144227892,11.83594042,0.066279149,0,983.3893159,1.666666667,-4.74E-05,2142.656059,12.76885163,2.203219831,0,0
1.691984813,1.258068401,1.465593615,0.210321451,1.827033056,0.130000241,1,771.6711513,0,-9.11E-05,274.8402653,28.44628205,2.19011449,1,0
